# wl(um) fl(Wm-2um-1) error
0.947108119726 nan nan
0.952524334192 nan nan
0.957940548658 nan nan
0.963356763124 nan nan
0.96877297759 nan nan
0.974189192056 nan nan
0.979605406523 3.99682011164e-15 1.42026061824e-15
0.985021620989 3.38506875883e-15 1.67828345311e-15
0.990437835455 3.85841043908e-15 3.57357434962e-15
0.995854049921 3.72791513747e-15 2.66160912984e-15
1.00127026439 3.97494498373e-15 1.44690121944e-15
1.00668647885 3.47015518761e-15 1.34596792399e-15
1.01210269332 3.87380398388e-15 1.33309437672e-15
1.01751890779 3.22755228059e-15 1.2954885876e-15
1.02293512225 2.38460722381e-15 1.14811005353e-15
1.02835133672 3.083916538e-15 1.05310650979e-15
1.03376755118 3.53216882587e-15 1.18002893121e-15
1.03918376565 4.24976604106e-15 1.27158555954e-15
1.04459998012 4.14973643508e-15 1.20563577307e-15
1.05001619458 3.87600063939e-15 1.07958900542e-15
1.05543240905 4.1038517264e-15 9.98611092859e-16
1.06084862351 4.49047135347e-15 1.04026513951e-15
1.06626483798 4.16562284494e-15 1.00749366081e-15
1.07168105245 4.078830598e-15 1.02054053183e-15
1.07709726691 4.7347058386e-15 1.10488291784e-15
1.08251348138 5.53764525145e-15 1.21976743112e-15
1.08792969584 5.88162207523e-15 1.18650402484e-15
1.09334591031 4.9642874603e-15 8.95454634676e-16
1.09876212478 6.93533471558e-15 1.19370591013e-15
1.10417833924 7.53911708571e-15 1.64280744057e-15
1.10959455371 6.98981702095e-15 1.75811431966e-15
1.11501076817 7.90130459094e-15 1.82394303196e-15
1.12042698264 5.14114938854e-15 1.73353316191e-15
1.12584319711 1.0805848777e-14 3.66079604465e-15
1.13125941157 2.25821038497e-14 1.21799203351e-14
1.13667562604 nan nan
1.14209184051 nan nan
1.11407300105 nan nan
1.12061894745 nan nan
1.12716489386 nan nan
1.13371084026 6.0237283343e-15 6.53625116654e-16
1.14025678667 6.26824092757e-15 6.75825937101e-16
1.14680273307 6.16279953593e-15 8.80166424065e-16
1.15334867948 5.94434224489e-15 6.97363248749e-16
1.15989462588 5.76753582387e-15 7.68410832131e-16
1.16644057229 5.65646778543e-15 9.11978518769e-16
1.17298651869 5.65254345612e-15 8.59762358187e-16
1.1795324651 5.49532291503e-15 5.7210031391e-16
1.1860784115 5.46741963882e-15 4.31066791268e-16
1.19262435791 5.64341985753e-15 5.10015649242e-16
1.19917030431 5.54650200661e-15 5.04546668913e-16
1.20571625072 5.73092189778e-15 3.91006756465e-16
1.21226219712 6.10688651832e-15 4.10062263184e-16
1.21880814353 6.31227840194e-15 3.99962699684e-16
1.22535408993 6.62666099848e-15 3.89412168569e-16
1.23190003634 6.6624142734e-15 3.41987505083e-16
1.23844598274 6.98544574248e-15 3.60617507535e-16
1.24499192914 7.16345633035e-15 3.53976549859e-16
1.25153787555 7.12070163251e-15 3.54485026107e-16
1.25808382195 7.49670658983e-15 3.66123587911e-16
1.26462976836 7.52921624819e-15 3.70965527423e-16
1.27117571476 7.77127797554e-15 3.52071007473e-16
1.27772166117 8.02762577407e-15 4.34849428253e-16
1.28426760757 8.13580441912e-15 4.40845068525e-16
1.29081355398 8.40371066525e-15 4.08897080495e-16
1.29735950038 8.41776572746e-15 3.71858460022e-16
1.30390544679 8.26201665711e-15 3.41785349447e-16
1.31045139319 8.11316917442e-15 3.50076960957e-16
1.3169973396 8.52078647911e-15 3.69990953821e-16
1.323543286 8.41340078355e-15 3.55279272118e-16
1.33008923241 7.08635002396e-15 3.52224214477e-16
1.33663517881 6.29354658493e-15 3.36678181788e-16
1.34318112522 nan nan
1.34972707162 nan nan
1.49460536242 nan nan
1.50301617384 nan nan
1.51142698527 4.34464124391e-15 3.59432469259e-16
1.51983779669 4.48075075611e-15 3.54848341477e-16
1.52824860812 4.60822274915e-15 3.5406326441e-16
1.53665941954 4.78683312001e-15 3.6116324607e-16
1.54507023097 4.81653600004e-15 3.5276240677e-16
1.55348104239 4.95040830971e-15 3.61181055342e-16
1.56189185381 5.05030716576e-15 3.61105042444e-16
1.57030266524 5.13731268432e-15 3.5528887831e-16
1.57871347666 5.27990312888e-15 3.57476549978e-16
1.58712428809 5.48453268982e-15 3.71922952144e-16
1.59553509951 5.5988057151e-15 3.70560188165e-16
1.60394591094 5.79763242296e-15 3.80558125768e-16
1.61235672236 5.86656997913e-15 3.77233828482e-16
1.62076753378 5.99311916138e-15 3.89656099939e-16
1.62917834521 6.02600567974e-15 3.82331468502e-16
1.63758915663 6.099002478e-15 3.87256377179e-16
1.64599996806 6.20558669476e-15 3.78640119125e-16
1.65441077948 6.29291134208e-15 3.85419870937e-16
1.66282159091 6.3363761571e-15 3.90518241454e-16
1.67123240233 6.37686164867e-15 3.90952786019e-16
1.67964321375 6.50980114532e-15 3.95225375305e-16
1.68805402518 6.43225574966e-15 3.92355641475e-16
1.6964648366 6.31277193027e-15 3.93031812655e-16
1.70487564803 6.28536895572e-15 3.98393093722e-16
1.71328645945 6.22851120162e-15 4.04376524726e-16
1.72169727088 6.04436384579e-15 3.92435660984e-16
1.7301080823 6.01211250426e-15 4.07235670534e-16
1.73851889372 5.96591560774e-15 4.16243418656e-16
1.74692970515 5.74115184106e-15 4.10367212728e-16
1.75534051657 5.47878555522e-15 4.1104868776e-16
1.763751328 5.37530773823e-15 4.17969911661e-16
1.77216213942 5.19006698917e-15 4.14796962068e-16
1.78057295084 5.16589708254e-15 4.22844535865e-16
1.78898376227 5.03635446988e-15 4.21998402122e-16
1.79739457369 nan nan
1.88609194594 nan nan
1.89467572682 nan nan
1.9032595077 nan nan
1.91184328858 4.42841964211e-15 4.34827726477e-16
1.92042706947 4.54133234967e-15 4.28237838901e-16
1.92901085035 4.42127875749e-15 4.11137691731e-16
1.93759463123 4.35863062166e-15 3.85868046479e-16
1.94617841211 4.26273367707e-15 3.63542373019e-16
1.95476219299 4.2345903354e-15 3.48429490732e-16
1.96334597387 4.22881993811e-15 3.44450655029e-16
1.97192975476 4.21897155664e-15 3.42270716968e-16
1.98051353564 4.11490857955e-15 3.25036007045e-16
