# filter: WISE/WISE.W1
# detector_type: energy
# wavelength (um)   transmission
3.080000000000000071e+00 3.822699999999999987e-01
3.090000000000000302e+00 3.673600000000000199e-01
3.100000000000000089e+00 3.594399999999999817e-01
3.110000000000000320e+00 3.677099999999999813e-01
3.120000000000000107e+00 3.953900000000000192e-01
3.130000000000000338e+00 4.375499999999999945e-01
3.140000000000000124e+00 4.768899999999999806e-01
3.150000000000000355e+00 5.072200000000000042e-01
3.160000000000000142e+00 5.284400000000000208e-01
3.170000000000000373e+00 5.446100000000000385e-01
3.180000000000000160e+00 5.587900000000000089e-01
3.189999999999999947e+00 5.720100000000000184e-01
3.200000000000000178e+00 5.832000000000000517e-01
3.209999999999999964e+00 5.902699999999999614e-01
3.220000000000000195e+00 5.973699999999999566e-01
3.229999999999999982e+00 6.023899999999999810e-01
3.240000000000000213e+00 6.063699999999999646e-01
3.250000000000000000e+00 6.029299999999999660e-01
3.260000000000000231e+00 5.984000000000000430e-01
3.270000000000000018e+00 5.959600000000000453e-01
3.280000000000000249e+00 5.999299999999999633e-01
3.290000000000000036e+00 6.178700000000000303e-01
3.300000000000000266e+00 6.531700000000000284e-01
3.310000000000000053e+00 6.994700000000000362e-01
3.320000000000000284e+00 7.482100000000000417e-01
3.330000000000000071e+00 7.917899999999999938e-01
3.340000000000000302e+00 8.225400000000000489e-01
3.350000000000000089e+00 8.402100000000000124e-01
3.360000000000000320e+00 8.405200000000000449e-01
3.370000000000000107e+00 8.265099999999999669e-01
3.380000000000000338e+00 8.102000000000000313e-01
3.390000000000000124e+00 7.905600000000000405e-01
3.400000000000000355e+00 7.695699999999999763e-01
3.410000000000000142e+00 7.584699999999999775e-01
3.420000000000000373e+00 7.752200000000000202e-01
3.430000000000000160e+00 8.211699999999999555e-01
3.439999999999999947e+00 8.830000000000000071e-01
3.450000000000000178e+00 9.396600000000000508e-01
3.459999999999999964e+00 9.762800000000000367e-01
3.470000000000000195e+00 9.949700000000000211e-01
3.479999999999999982e+00 1.000000000000000000e+00
3.490000000000000213e+00 9.983100000000000307e-01
3.500000000000000000e+00 9.977399999999999602e-01
3.510000000000000231e+00 9.972699999999999898e-01
3.520000000000000018e+00 9.966599999999999904e-01
3.530000000000000249e+00 9.961499999999999799e-01
3.540000000000000036e+00 9.885699999999999488e-01
3.550000000000000266e+00 9.751300000000000523e-01
3.560000000000000053e+00 9.569400000000000128e-01
3.570000000000000284e+00 9.363099999999999756e-01
3.580000000000000071e+00 9.155499999999999750e-01
3.590000000000000302e+00 9.028599999999999959e-01
3.600000000000000089e+00 9.006699999999999706e-01
3.610000000000000320e+00 9.137899999999999912e-01
3.620000000000000107e+00 9.364200000000000301e-01
3.630000000000000338e+00 9.579800000000000537e-01
3.640000000000000124e+00 9.701300000000000479e-01
3.650000000000000355e+00 9.751800000000000468e-01
3.660000000000000142e+00 9.754599999999999937e-01
3.670000000000000373e+00 9.757200000000000317e-01
3.680000000000000160e+00 9.747799999999999798e-01
3.690000000000000391e+00 9.738099999999999534e-01
3.700000000000000178e+00 9.729499999999999815e-01
3.709999999999999964e+00 9.743600000000000039e-01
3.720000000000000195e+00 9.745599999999999818e-01
3.729999999999999982e+00 9.674300000000000122e-01
3.740000000000000213e+00 9.394900000000000473e-01
3.750000000000000000e+00 8.845600000000000129e-01
3.760000000000000231e+00 7.986199999999999966e-01
3.770000000000000018e+00 6.828999999999999515e-01
3.780000000000000249e+00 5.480399999999999716e-01
3.790000000000000036e+00 4.072600000000000109e-01
3.800000000000000266e+00 2.818599999999999994e-01
3.810000000000000053e+00 1.852900000000000102e-01
3.820000000000000284e+00 1.156800000000000050e-01
3.830000000000000071e+00 7.080300000000000482e-02
3.840000000000000302e+00 4.364599999999999730e-02
3.850000000000000089e+00 2.760100000000000053e-02
3.860000000000000320e+00 1.760000000000000106e-02
3.870000000000000107e+00 1.101599999999999975e-02
3.880000000000000338e+00 6.760900000000000243e-03
3.890000000000000124e+00 4.791199999999999799e-03
3.900000000000000355e+00 3.984399999999999921e-03
3.910000000000000142e+00 3.138999999999999863e-03
3.920000000000000373e+00 2.381400000000000097e-03
3.930000000000000160e+00 2.255300000000000013e-03
3.940000000000000391e+00 1.811899999999999969e-03
3.950000000000000178e+00 1.512000000000000106e-03
3.960000000000000409e+00 1.134199999999999922e-03
3.970000000000000195e+00 6.554599999999999619e-04
3.979999999999999982e+00 3.544900000000000026e-04
3.990000000000000213e+00 4.280999999999999839e-05
4.000000000000000000e+00 1.003200000000000017e-04
