# filter: WISE/WISE.W1
# detector_type: energy
# wavelength (um)   transmission
2.600000000000000089e+00 2.371799999999999890e-06
2.610000000000000320e+00 3.578699999999999872e-04
2.620000000000000107e+00 1.180099999999999899e-03
2.630000000000000338e+00 9.294400000000000188e-04
2.640000000000000124e+00 7.509500000000000116e-04
2.649999999999999911e+00 8.193999999999999678e-04
2.660000000000000142e+00 8.818300000000000053e-04
2.669999999999999929e+00 1.051700000000000031e-03
2.680000000000000160e+00 3.386700000000000084e-04
2.689999999999999947e+00 5.170500000000000183e-04
2.700000000000000178e+00 8.184600000000000208e-04
2.709999999999999964e+00 8.729100000000000054e-03
2.720000000000000195e+00 7.729899999999999619e-03
2.729999999999999982e+00 4.604500000000000086e-03
2.740000000000000213e+00 3.435600000000000025e-03
2.750000000000000000e+00 7.399300000000000148e-03
2.760000000000000231e+00 1.374700000000000054e-02
2.770000000000000018e+00 2.355000000000000149e-02
2.780000000000000249e+00 4.520899999999999919e-02
2.790000000000000036e+00 8.887499999999999567e-02
2.800000000000000266e+00 1.555600000000000038e-01
2.810000000000000053e+00 2.300899999999999890e-01
2.820000000000000284e+00 2.836899999999999977e-01
2.830000000000000071e+00 3.068699999999999761e-01
2.840000000000000302e+00 3.042500000000000204e-01
2.850000000000000089e+00 2.941500000000000226e-01
2.860000000000000320e+00 2.821000000000000174e-01
2.870000000000000107e+00 2.680899999999999950e-01
2.880000000000000338e+00 2.550100000000000144e-01
2.890000000000000124e+00 2.540100000000000136e-01
2.900000000000000355e+00 2.662499999999999867e-01
2.910000000000000142e+00 2.890300000000000091e-01
2.919999999999999929e+00 3.150100000000000122e-01
2.930000000000000160e+00 3.378200000000000092e-01
2.939999999999999947e+00 3.570200000000000040e-01
2.950000000000000178e+00 3.735600000000000032e-01
2.959999999999999964e+00 3.886499999999999955e-01
2.970000000000000195e+00 4.054800000000000071e-01
2.979999999999999982e+00 4.214499999999999913e-01
2.990000000000000213e+00 4.326300000000000145e-01
3.000000000000000000e+00 4.370100000000000096e-01
3.010000000000000231e+00 4.414199999999999791e-01
3.020000000000000018e+00 4.458400000000000141e-01
3.030000000000000249e+00 4.453400000000000136e-01
3.040000000000000036e+00 4.378699999999999815e-01
3.050000000000000266e+00 4.283600000000000185e-01
3.060000000000000053e+00 4.147700000000000276e-01
3.070000000000000284e+00 4.000799999999999912e-01
